drg_id,provider_state,total_discharges,avg_covered_charges,avg_total_payments
101,TN,979,18940.32,5000.63
101,TX,3028,25967.85,5330.16
101,UT,99,14599.80,6419.79
101,VA,1286,17714.34,5190.08
101,VT,31,14469.55,7100.19
101,WA,584,20732.69,5928.85
101,WI,497,17235.14,5613.00
101,WV,483,11442.91,5130.74
101,WY,30,13845.87,6041.50
149,AL,191,17042.78,3712.46
149,AR,15,9700.00,3699.67
149,AZ,458,22179.21,4230.31
149,CA,1076,32624.08,5256.59
149,CO,166,20701.16,4262.19
149,CT,360,14535.90,5371.19
149,DC,62,18320.73,5917.02
149,DE,110,12695.38,4821.23
149,FL,2305,23115.23,4023.06
149,GA,310,17671.34,4089.35
149,IA,183,13244.78,3783.12
149,IL,2091,19044.17,4597.38
149,IN,700,14662.76,4118.75
149,KS,122,15559.04,3681.66
149,KY,328,13962.75,4063.43
149,LA,87,16213.89,4009.29
149,MA,1186,11222.79,4966.17
149,MD,1056,5980.60,5642.10
149,ME,67,11401.63,4244.34
149,MI,1182,13023.34,4547.26
149,MN,317,15690.39,4594.28
149,MO,564,15645.75,3969.69
149,MS,124,16298.66,3872.47
149,MT,19,11773.74,3986.05
149,NC,582,14303.03,4316.66
149,NE,103,15747.95,4131.48
149,NH,26,14413.31,4056.04
149,NJ,1290,34474.51,4750.41
149,NM,18,17929.72,4315.11
149,NV,182,27657.76,4599.73
149,NY,2894,17870.15,5965.92
149,OH,1184,15664.50,4123.15
149,OK,187,14523.02,3951.58
149,OR,12,8653.75,4287.75
149,PA,1438,22784.43,4395.21
149,RI,67,17808.46,5196.94
149,SC,132,17652.83,4219.95
149,SD,51,14908.06,4812.33
149,TN,216,15760.39,4092.73
149,TX,889,25634.74,4373.70
149,UT,11,8738.36,3870.64
149,VA,577,14526.31,4128.80
149,WA,110,18971.50,4499.79
149,WI,254,14141.66,4374.87
149,WV,125,11025.70,3910.05
176,AK,26,35672.65,10349.50
176,AL,681,27322.30,6236.40
176,AR,377,18143.60,6200.66
176,AZ,746,29349.97,7579.09
176,CA,1398,51386.23,8854.11
176,CO,636,26759.03,6897.89
176,CT,380,25182.59,8656.66
176,DC,157,27750.82,9403.11
176,DE,136,20112.00,7748.92
176,FL,2077,33745.14,6637.18
176,GA,914,24387.40,6804.97
176,HI,13,18937.62,11030.92
176,IA,419,18418.63,6486.65
176,ID,161,14835.19,6498.27
176,IL,1829,27959.03,7539.01
176,IN,875,21278.45,6732.26
176,KS,263,26704.56,6702.01
176,KY,498,20351.00,6623.09
176,LA,392,24815.81,6590.34
176,MA,888,18441.25,8312.48
176,MD,1052,10229.52,9658.15
176,ME,116,17573.83,6954.22
176,MI,1428,20029.60,7634.11
176,MN,560,19271.62,7459.65
176,MO,671,24239.71,6822.81
176,MS,409,22262.00,6501.67
176,MT,143,13632.09,6619.36
176,NC,1469,18943.81,7212.75
176,ND,109,13773.15,6685.78
176,NE,267,23093.67,6933.10
176,NH,237,19999.22,6802.94
176,NJ,912,56518.43,7788.88
176,NM,102,21389.86,8387.75
176,NV,248,44278.80,7719.90
176,NY,1301,29445.70,9126.93
176,OH,1326,22409.13,6844.66
176,OK,407,22991.29,6560.40
176,OR,219,17500.78,7769.68
176,PA,1440,32887.22,7413.65
176,RI,93,25786.88,8117.09
176,SC,695,27959.21,7001.96
176,SD,149,19557.68,7180.78
176,TN,940,20829.23,6342.28
176,TX,1734,32291.69,6990.30
176,UT,380,16411.14,6963.79
176,VA,1045,20804.79,6859.11
176,VT,79,14337.70,8725.47
176,WA,647,24750.97,7604.51
176,WI,684,18937.59,7246.49
176,WV,249,16564.29,6371.74
176,WY,65,21126.38,8444.29
177,AK,29,58199.17,16417.97
177,AL,1391,51214.55,12068.93
177,AR,849,32427.52,11614.09
177,AZ,901,57298.52,14289.68
177,CA,6151,101884.99,17925.22
177,CO,594,56027.78,12961.09
177,CT,1394,39858.26,16054.56
177,DC,49,54800.20,17121.94
177,DE,291,34014.40,14418.30
177,FL,4785,64640.44,12632.61
177,GA,1762,42931.95,12718.14
177,HI,166,42409.22,17035.45
177,IA,724,31793.72,11831.73
177,ID,208,30269.24,13218.72
177,IL,3002,51004.21,13436.14
177,IN,1652,37426.45,12352.77
177,KS,535,45641.04,12321.59
177,KY,1582,35535.45,12449.49
177,LA,973,53779.67,12371.93
177,MA,2051,26637.67,15115.62
177,MD,944,18144.19,17083.50
177,ME,303,32951.10,13635.91
177,MI,2555,33415.48,14053.83
177,MN,751,40377.92,14697.32
177,MO,2164,39631.20,11741.60
177,MS,894,45993.85,12319.89
177,MT,191,25491.05,12252.21
177,NC,3483,30855.50,13290.71
177,ND,321,25936.91,12803.79
177,NE,274,43031.60,12981.68
177,NH,273,33383.88,13028.24
177,NJ,2296,90013.64,14786.19
177,NM,138,39749.23,14788.48
177,NV,160,88106.57,14568.14
177,NY,2868,51542.35,17542.84
177,OH,2888,38412.05,12481.69
177,OK,764,49097.77,12612.94
177,OR,289,35047.83,15303.10
177,PA,3066,54085.92,12976.41
177,RI,262,42869.58,16066.66
177,SC,1290,52031.35,13931.41
177,SD,123,46126.50,14242.86
177,TN,2058,40945.03,11818.49
177,TX,4194,61030.03,13021.61
177,UT,202,34138.31,14446.68
177,VA,1991,37946.14,12346.58
177,VT,95,29659.24,17365.59
177,WA,1253,42369.09,14185.03
177,WI,869,35759.73,13568.90
177,WV,571,27963.10,12086.43
177,WY,41,43251.12,19806.51
178,AK,57,44103.23,16841.49
178,AL,1001,37502.58,8677.32
178,AR,861,22440.62,8488.62
178,AZ,765,37991.51,10148.16
178,CA,4920,70949.02,12543.34
178,CO,565,40841.15,9548.51
178,CT,1247,28675.45,11336.23
178,DC,69,33835.80,11276.72
178,DE,161,23996.06,10999.85
178,FL,3862,46344.06,9074.71
178,GA,1430,30987.13,9085.77
178,HI,194,33607.95,12516.17
178,IA,540,21855.27,8885.82
178,ID,147,22287.67,8997.99
178,IL,2584,34887.75,9677.37
178,IN,1347,26400.27,8870.03
178,KS,548,28655.96,8935.21
178,KY,1306,25624.60,9061.42
178,LA,1121,35000.79,8988.12
178,MA,2114,20284.23,10834.52
178,MD,1191,12927.16,12162.63
178,ME,370,20242.84,9762.10
178,MI,1673,23027.54,10116.89
178,MN,692,25000.47,10429.57
178,MO,1299,29148.72,8649.38
178,MS,742,31040.16,8720.48
178,MT,201,17992.96,8849.73
178,NC,2154,22946.85,9860.00
178,ND,151,16314.74,9085.85
178,NE,309,32629.25,9162.16
178,NH,290,24279.98,9718.26
178,NJ,1964,63748.79,10364.22
178,NM,171,30281.64,9876.22
178,NV,156,70415.39,10795.35
178,NY,2861,34265.71,11846.36
178,OH,2031,25602.41,8882.42
178,OK,871,32844.57,8929.52
178,OR,247,26490.92,11002.82
178,PA,2597,43447.78,9800.50
178,RI,343,29114.39,11281.73
178,SC,910,37465.84,9676.68
178,SD,176,31217.44,10096.71
178,TN,1757,27845.39,8368.47
178,TX,3831,42475.06,9270.40
178,UT,182,22779.67,9512.19
178,VA,1481,26603.98,9104.51
178,VT,123,20982.53,12223.41
178,WA,939,27953.22,9835.57
178,WI,950,24048.34,9918.08
178,WV,551,19616.90,8859.58
178,WY,48,26705.27,11020.83
189,AK,72,49021.04,12003.26
189,AL,2095,34203.14,7581.84
189,AR,1373,23063.68,7571.40
189,AZ,1310,35286.58,8846.03
189,CA,5469,64758.11,11178.90
189,CO,941,34852.51,8427.58
189,CT,1756,28498.27,10512.38
189,DC,136,37492.23,12398.80
189,DE,470,23659.51,9509.84
189,FL,5411,40764.37,8128.57
189,GA,3812,28785.88,8090.69
189,HI,89,37497.40,10642.82
189,IA,1282,24600.82,7871.37
189,ID,363,19618.13,8823.86
189,IL,3300,34141.51,8680.49
189,IN,2979,24836.70,8082.93
189,KS,1051,32651.97,8166.68
189,KY,3307,20882.45,8035.71
189,LA,1113,29813.20,7985.37
189,MA,2091,18051.28,9909.59
189,MD,2361,15122.08,14234.32
189,ME,546,21838.20,8950.75
189,MI,4193,22358.70,8891.30
189,MN,1431,27559.96,9413.23
189,MO,3661,28249.95,8058.27
189,MS,1329,30305.52,8087.05
189,MT,269,19941.76,8327.87
189,NC,5037,21562.42,8579.38
189,ND,262,17345.37,8224.65
189,NE,416,33261.50,8398.88
189,NH,342,27758.93,8823.85
189,NJ,2031,70977.68,9691.84
189,NM,239,35404.71,9428.37
189,NV,476,63980.39,9032.22
189,NY,3861,32227.90,10299.09
189,OH,4745,27366.70,8323.63
189,OK,1102,31124.17,8286.93
189,OR,658,25395.80,9036.81
189,PA,3364,34570.08,11355.50
189,RI,182,36804.07,11445.57
189,SC,1995,31365.99,8273.82
189,SD,138,29469.62,9719.32
189,TN,3367,26753.92,7624.72
189,TX,5780,41085.30,8522.58
189,UT,224,26272.44,8696.64
189,VA,3672,25878.10,8160.12
189,VT,155,19571.35,11787.51
189,WA,2293,30125.30,9272.66
189,WI,1271,23175.67,8590.26
189,WV,1148,18550.64,7863.30
189,WY,131,26415.02,11256.18
190,AK,163,34448.25,12877.47
190,AL,3734,25372.12,6828.99
190,AR,1774,20477.70,6846.93
190,AZ,2099,32907.41,8272.76
190,CA,9472,58012.95,10305.07
190,CO,1021,31599.30,7942.02
190,CT,1948,25184.34,9367.46
190,DC,269,31822.76,10629.07
190,DE,744,19562.21,8525.24
190,FL,11582,39025.64,7410.04
190,GA,4310,25039.59,7412.74
190,HI,206,30606.60,11247.59
190,IA,1367,19158.96,7031.13
190,ID,285,19035.26,7656.01
190,IL,7492,30399.79,8129.55
190,IN,4542,22413.53,7348.77
190,KS,939,26095.40,7120.31
190,KY,4483,20644.82,7341.34
190,LA,2362,30886.73,7374.84
190,MA,4368,16231.01,8801.57
190,MD,3027,11899.50,11210.43
190,ME,768,18520.64,8032.04
190,MI,7137,20753.63,8255.54
190,MN,1375,20945.04,8297.03
190,MO,3420,25312.37,7444.58
190,MS,2147,26679.04,7105.14
190,MT,327,15813.35,7567.73
190,NC,5450,20024.69,7976.76
190,ND,177,13046.52,7413.45
190,NE,837,29531.48,7750.73
190,NH,819,19463.36,7632.90
190,NJ,5210,62345.57,8878.98
190,NM,559,27807.70,8743.65
190,NV,864,49934.76,8369.93
190,NY,8132,30591.56,10189.33
190,OH,7546,23243.24,7304.50
190,OK,2338,25874.94,7436.67
190,OR,544,23033.22,8364.85
190,PA,6276,35840.76,7862.41
190,RI,607,26086.77,9036.64
190,SC,2606,30946.22,7656.96
190,SD,255,26316.47,8540.64
190,TN,5003,23923.48,7036.95
190,TX,10888,35717.55,7640.18
190,UT,287,19934.27,7747.03
190,VA,3894,22971.39,7375.08
190,VT,305,16404.24,9699.76
190,WA,1692,26544.90,8451.72
190,WI,1826,21334.59,7926.61
190,WV,2037,16203.66,7123.45
190,WY,164,23123.16,10529.52
191,AK,154,22659.50,10569.68
191,AL,3780,21029.45,5673.96
191,AR,1716,16636.13,5641.06
191,AZ,1988,27980.48,6661.02
191,CA,8297,46765.22,8290.39
191,CO,1030,26328.37,6453.31
191,CT,1590,20120.57,7670.31
191,DC,325,25479.50,8881.35
191,DE,539,15991.04,7230.84
191,FL,12217,32205.08,6099.17
191,GA,4405,20363.13,6112.70
191,HI,130,24364.35,9077.25
191,IA,1192,16586.66,5844.82
191,ID,219,14826.74,6140.86
191,IL,7692,24404.25,6717.77
191,IN,4702,18022.91,6069.49
191,KS,1061,21196.84,5893.51
191,KY,4335,17372.37,5992.03
191,LA,2214,22168.92,5961.24
191,MA,4414,12797.62,7244.44
191,MD,3878,9033.89,8515.61
191,ME,890,14306.21,6528.12
191,MI,7185,16751.74,6837.77
191,MN,1331,16954.72,6897.38
191,MO,3417,19616.36,6146.15
