provider_id,mr_h_a,lme_mr_h_a,ume_mr_h_a,num_p_mr_ha,mr_hf,lme_mr_hf,ume_mr_hf,num_p_mr_hf,mr_p,lme_mr_pn,ume_mr_pn,num_p_mr_pn,readm_ha,lreadma_ha,ureadma_ha,num_p_readm_ha,readma_hf,lreadmae_hf,ureadmae_hf,num_p_readma_hf,readma_pn,lreadma_pn,ureadma_pn,num_p_readma_pn
140151,,,,6,7.6,5.4,10.6,170,,,,15,,,,4,27.1,23,31.8,211,,,,14
140155,14.5,11.2,18.5,60,9.7,7.3,12.7,200,9.3,7.2,11.9,325,19,15,23.7,52,28.7,24.5,33.1,222,20.4,17.4,23.8,338
140158,14.1,11.5,17.1,219,9,7.2,11.3,551,12,9.4,15.1,274,23.2,19.5,27,217,27.6,24.8,30.5,726,19.1,16,22.5,292
140160,16.1,12.3,20.3,104,14.8,11.8,18.4,274,12.9,10.3,15.8,348,21.6,17.5,26.4,92,23.7,20.2,27.6,303,17.6,14.6,20.9,347
140161,,,,19,12.7,9.2,17.1,77,11.9,8.7,16.2,121,,,,9,22.8,18.8,27.7,94,15.7,12.6,20,122
140162,17.5,14,21.8,158,15.4,12.2,19.1,261,12.7,10.1,16,219,19.7,16,23.9,157,24.1,20.8,27.8,310,19.3,16.1,23.2,229
140164,14,11.4,17.2,339,11.7,9.1,14.7,284,13.3,10.4,16.8,252,17.9,15.1,21.1,412,25.5,22.3,28.8,372,19.9,16.8,23.1,294
140166,16.1,12.6,20.3,114,11,8.7,13.7,359,12,9.4,15.2,310,19.7,16,23.7,88,25.1,21.8,28.7,421,18,15.1,21.4,308
140167,15.4,12,19.8,78,11.9,9,15.3,167,11.5,8.8,14.8,203,21.4,17.2,26.3,48,24.1,20.2,28.2,203,17.6,14.4,21.4,210
140172,16.1,13.9,18.6,510,7.4,6.1,8.9,937,11.5,9.8,13.5,683,22.9,20.1,25.7,502,28.1,25.9,30.4,1168,22.5,19.7,25.2,705
140174,16.3,12.8,20.3,149,11.7,9.1,14.8,262,10.4,8.2,13.2,297,22,18.1,26.6,142,24.5,21.1,28.4,297,19.1,16.3,22.4,308
140176,14.5,11.8,17.9,167,11.6,9.1,14.7,271,12.1,9.6,15.2,315,20.3,16.5,24.5,97,24.9,21.5,28.5,323,23.9,20.1,27.5,335
140177,15.6,11.6,20.2,26,11.3,8.3,15,148,11.4,8.2,15.8,71,,,,7,29.8,25.6,34.2,177,19.6,15.8,24.2,66
140179,12.1,9.3,15.4,159,10.4,8.6,12.5,712,11.1,9.1,13.3,495,21.9,17.9,26.1,129,25.7,23.2,28.5,850,23,19.8,26,485
140180,13.9,11,17.2,161,7.8,5.8,10.2,352,10,7.6,13.2,220,22.4,18.6,26.6,160,25.4,22.3,28.9,433,21.6,18.1,25.2,214
140181,17.4,13.2,22,52,8.7,6.6,11.5,211,10.2,7.5,13.6,121,20.3,16.3,24.8,26,26.5,23,30.3,270,20.6,16.9,24.7,128
140182,15.7,12.3,20,113,8.5,6.4,11.2,268,11.5,8.9,14.8,246,21.6,17.9,25.8,151,28.9,25.2,32.5,379,20.5,17.4,24.1,279
140184,14.9,11.7,19,95,10.9,8.3,14.1,209,13.4,10.7,16.6,294,21.6,17.6,26.2,98,27.7,23.9,31.8,268,20.5,17.4,23.9,322
140185,14.6,11.9,17.7,319,11.2,9.3,13.2,672,13.4,10.9,16.2,460,19.7,16.7,23.3,303,25.2,22.8,27.8,815,19.4,16.7,22.3,466
140186,16.2,12.9,20.1,182,10.6,8.6,13,433,10.7,8.7,13.1,477,20.9,17.3,25.3,172,25.2,22.3,28.5,479,17.5,15,20.5,477
140187,15.8,13.1,19.3,308,12.6,10.3,15.2,515,12.8,10,16,290,18.9,15.8,22.5,322,25,22.1,28.1,639,19.7,16.5,23.1,318
140189,15.4,12.6,18.8,134,11.7,9.4,14.3,398,10.9,8.9,13.3,454,19.5,15.9,23.5,92,23.1,20.1,26.3,466,17.5,15,20.7,448
140191,13.1,10.7,15.8,311,8.1,6.7,9.9,847,9.3,7.2,11.8,397,22,18.9,25.5,321,27.8,25.4,30.3,1059,19,16.1,22,410
140197,,,,17,11.3,8.2,15,63,9.6,7.1,12.8,135,,,,11,24.5,20.4,28.9,68,20,16.4,23.8,140
140200,13.7,11.1,16.9,305,11.1,9.4,13,802,8.6,6.9,10.5,605,18.6,15.6,22.3,284,23.2,21,25.7,971,18.7,16.3,21.4,609
140202,14.6,12,17.7,278,11.1,9.5,13.2,700,12.2,10.2,14.4,611,17.4,14.5,20.8,264,26.1,23.6,28.7,848,17.9,15.5,20.5,636
140206,16.3,12.5,20.5,35,9.5,6.8,13.1,107,12.5,9.2,16.6,70,,,,21,24.1,20.3,28.3,144,18.7,15,22.8,65
140208,13.9,11.8,16.4,519,9.8,8.5,11.4,1162,9.6,8.1,11.3,760,22.4,19.7,25.2,601,25.9,23.9,28,1400,20.6,18.4,23,786
140209,14.9,12.1,18.2,250,11.7,9.5,14.2,436,10.7,8.8,13.1,440,19.3,16.2,22.8,283,25.3,22.4,28.6,512,16.5,14,19.6,443
140210,16.1,12.1,20.7,37,11.7,9,14.8,176,12,9.5,15.1,309,19.6,15.4,24.2,27,26.4,22.5,30.8,205,19.7,16.5,23.1,319
140211,14.6,11.5,18,180,11.2,9.1,13.7,403,10.6,8.6,13,527,16.7,13.5,20.4,155,23.5,20.5,26.9,457,20.3,17.5,23.2,541
140213,16,13.2,19.1,283,10.1,8.4,12.2,707,11.3,9.5,13.4,692,20.2,17.2,23.7,261,27.7,25,30.4,865,22.6,20,25.2,735
140217,14,11.1,17.6,150,12.1,9.8,14.9,299,10.1,8,12.6,327,20.9,17.2,25,154,23.9,20.9,27.2,376,18.7,15.8,21.9,344
140223,14.9,12.3,17.9,375,13.3,11.5,15.1,925,11.9,10.2,13.8,800,20.8,17.7,24.4,369,27.1,24.6,29.6,1104,20.2,17.8,22.7,801
140224,11,8.4,13.8,125,7.1,5.6,9,421,8.7,6.6,11.3,231,20.3,16.9,24.1,138,24.5,21.5,27.5,525,19.5,16.3,22.8,248
140228,13.3,10.6,16.5,225,12.1,10,14.5,557,10.5,8.5,13,473,22,18.5,25.9,243,26.9,24,30,629,18.6,15.9,21.6,491
140231,12.8,10.3,15.9,263,10.2,8.5,12.3,685,10.9,9.3,12.7,837,17.9,14.9,21.3,271,23.5,21.1,26.2,846,17.9,15.8,20.3,908
140233,18.9,15.6,22.8,291,12.9,10.4,15.8,415,11.9,9.5,14.6,451,20,16.9,23.7,292,24.2,21.2,27.5,482,18.5,16,21.5,459
140234,16.5,12.7,20.6,40,10.8,8.2,14,203,13.1,10.4,16.2,279,18.7,14.8,23.4,25,22,18.2,26.6,217,18,14.8,21.6,283
140239,13.5,10.8,16.8,237,13.5,10.9,16.6,375,11.6,9.4,14.1,550,19.2,16,22.7,268,26.2,23,29.7,430,18.9,16.4,21.8,588
140240,15.3,11.6,20,45,11.9,9.2,15.2,210,11.8,8.7,15.7,81,20.2,16.1,25,44,25.8,22.2,29.4,280,17.1,13.7,21.4,84
140242,13.8,11.1,17.3,228,12.1,10.3,14.2,743,11.8,9.6,14.3,492,19.5,16,23.4,233,23.1,20.8,25.7,893,17.6,15,20.7,523
140250,16.4,13.4,19.8,187,9.5,7.5,11.8,419,9.6,7.7,11.8,384,19,15.9,22.7,158,25.2,22.3,28.1,552,21,18.2,24.1,412
140251,15,12.4,18.1,257,11.5,9.3,14,519,13.8,11.2,16.9,339,22.7,19.3,26.1,242,28.9,25.6,32,630,23,19.3,26.5,317
140252,14.7,12.7,16.9,640,11.9,10.5,13.6,1300,12.8,11.2,14.6,1023,21.3,18.7,24,615,28.1,25.8,30.2,1564,21.1,18.8,23.5,1018
140258,11.5,9.3,14.4,304,8.4,7,9.9,843,9.6,8,11.3,762,21.7,18.5,25,327,24.1,21.9,26.4,1029,20.4,18.1,22.8,778
140275,15.7,12.9,18.9,201,12,9.6,15,321,12.7,9.7,16.2,257,17.9,14.9,21.5,216,26.8,23.5,30.3,383,20.8,17.2,24.5,260
140276,13.8,11,17.3,189,8.6,6.8,10.8,528,12.8,10.3,15.7,318,21.4,18.2,24.9,224,24.7,22.1,27.2,781,22,18.9,25.2,371
140280,12.6,10.6,15.1,535,11.3,9.4,13.6,615,13.1,11.1,15.5,659,20,17.5,22.8,617,24.1,21.6,26.6,760,16.4,14.2,19.1,687
140281,11.9,9.6,14.8,295,8.8,7.2,10.7,789,11.2,9.3,13.4,571,19.8,16.9,23.1,319,28.6,25.9,31.2,1008,22.2,19.4,24.8,641
140286,15.9,12.5,20,94,12,9.5,14.9,308,13.2,10.9,16.1,422,18.3,14.7,22.8,68,25.7,22.2,29.6,350,17.1,14.4,20.3,444
140288,16.6,13.8,19.8,295,9.5,7.9,11.3,716,11.3,9.5,13.2,748,20.8,17.6,24.1,303,23.5,21,26.3,849,17.8,15.7,20.2,794
140289,15.3,12.4,18.7,199,13.2,10.6,16.1,316,14.1,11.6,17,394,21.1,17.5,25.1,162,23.9,20.5,27.3,371,18,15.3,21.3,413
140290,13.8,11.3,16.7,243,7.7,6.2,9.3,550,9.5,7.9,11.5,601,20.8,17.6,24.5,209,24.6,22,27.4,647,20.9,18.3,23.5,631
140291,13,10.6,16,288,10.4,8.7,12.6,548,13.5,11.1,16.4,413,21.7,18.1,25.4,287,24.3,21.7,27.2,661,17.6,15.1,20.4,444
140292,14.1,10.8,17.9,51,12.3,9.5,15.7,115,11.2,8.2,14.9,86,19.9,15.7,24.5,41,25.7,21.5,30.2,125,19.8,15.9,24.1,83
140294,,,,18,10.6,7.7,14.2,79,9.8,7.2,13.3,163,,,,14,25.3,20.9,30.3,90,21.7,18,25.9,174
140300,,,,13,10.3,7.2,14.5,80,11.2,7.9,15.9,59,,,,6,26.9,22.3,32.1,112,18.2,14.2,22.7,68
140304,14.4,11,18.3,91,11.5,9.1,14.5,201,12.2,9.4,15.7,163,20.9,17,25.3,74,26.7,23.1,30.6,227,20.9,17.3,24.9,174
141300,,,,7,12.6,8.9,17.6,39,12.5,9.1,16.8,91,,,,4,25.3,20.5,31.1,51,20.3,16.1,25.1,99
141301,,,,2,,,,20,11.1,8.1,15.5,105,,,,1,,,,24,15.2,11.8,19.5,111
141302,,,,,,,,13,,,,23,,,,,,,,20,18.6,14.2,24.6,27
141303,,,,10,12.7,9.1,17.2,45,12.7,9.1,17.3,93,,,,12,25.3,20.6,30.5,49,16.2,12.7,20.2,98
141304,,,,4,13,9.3,18.2,37,12.9,9.1,17.7,57,,,,2,23.1,18.8,28.4,43,17.2,13.4,22,59
